,final_louvain
1,0
2,0
3,2
4,0
5,0
6,0
7,0
8,4
9,0
10,0
11,0
12,5
13,3
17,0
18,0
19,5
20,0
23,2
24,2
25,0
26,0
27,2
28,3
30,2
31,0
32,3
33,2
34,0
35,0
36,0
37,0
38,2
39,3
40,2
41,3
43,0
44,0
46,0
47,0
50,0
53,0
54,0
55,0
57,0
58,0
59,0
60,0
62,0
64,5
65,0
66,0
67,0
68,0
69,5
70,5
74,5
75,5
76,5
77,5
78,5
79,5
81,0
86,5
107,5
111,5
118,5
119,0
121,4
124,2
125,0
127,2
128,4
130,5
131,3
132,4
135,4
136,2
137,2
138,5
139,0
140,2
141,2
142,5
144,4
145,2
146,2
147,5
148,2
149,4
150,5
151,2
152,0
153,0
154,4
155,0
156,4
157,4
158,2
159,4
160,2
161,0
162,5
163,5
164,3
165,4
167,0
168,0
169,2
170,4
171,5
172,0
173,2
174,2
176,0
177,0
178,3
179,2
180,2
181,5
182,4
183,2
184,2
185,2
186,2
187,0
188,4
189,0
190,4
191,2
192,2
193,0
194,0
195,2
196,2
197,4
199,0
200,0
201,3
202,2
203,2
204,0
205,2
208,2
211,0
212,2
213,2
214,4
215,0
218,2
219,0
220,5
221,0
222,2
223,2
224,4
225,0
227,4
228,3
229,5
230,0
231,4
232,0
233,2
234,3
235,0
237,2
240,4
241,0
242,4
244,0
245,4
246,4
247,3
248,0
249,0
250,3
251,2
253,0
255,0
256,2
259,3
264,4
265,3
266,2
267,4
268,3
269,0
270,3
271,2
272,2
273,0
276,2
277,3
278,5
279,0
280,2
281,0
282,0
283,0
284,2
285,4
286,2
287,3
288,2
289,2
290,0
291,2
292,0
293,3
294,0
296,0
297,2
298,4
299,4
300,4
303,4
304,3
305,4
307,0
308,2
309,2
311,3
312,3
313,0
314,2
315,2
316,0
317,2
318,0
319,2
321,0
322,4
323,4
324,2
325,0
326,0
327,0
328,2
329,0
333,2
334,4
337,4
338,4
339,0
340,0
344,0
345,2
346,2
349,0
350,0
351,2
352,3
353,4
354,4
355,0
356,0
357,2
359,3
360,0
361,4
364,0
365,2
366,0
367,4
372,0
373,0
374,0
375,3
376,2
378,2
379,2
380,2
381,3
382,0
383,2
385,0
386,0
387,0
388,0
