"","Louvain_0","Louvain_1","Louvain_2","Louvain_3","Louvain_4","Louvain_5","Louvain_6","Louvain_7","Louvain_8","Louvain_9","Louvain_10","Louvain_11","Louvain_12"
"cl1_e421_Cst3_L4",0.235294117647059,0.197701149425287,0.028735632183908,0.347107438016529,0.0538116591928251,0.0298507462686567,0,0,0.0133333333333333,0,0.0392156862745098,0,0
"cl10_i163_Tacstd2_Sst",0.0053475935828877,0,0.0028735632183908,0.00413223140495868,0.00448430493273543,0,0.088,0,0.04,0,0,0,0
"cl1001_e62_Cryba2_L5_IT",0.0303030303030303,0,0,0.00413223140495868,0.00448430493273543,0.0149253731343284,0,0,0,0,0,0,0
"cl1002_i29_Nts_Sst",0,0,0,0,0.00448430493273543,0,0.016,0,0.0133333333333333,0,0,0,0
"cl1003_i21_Sp7_Lamp5",0,0,0,0,0,0,0,0,0,0,0,0,0
"cl1004_i65_NA_Sst",0,0,0,0,0,0,0.008,0,0,0,0,0,0
"cl1005_i24_Pcdhb20_Sst",0,0,0,0,0,0,0.008,0,0,0,0,0,0
"cl1006_i68_Hpse_Sst",0.0017825311942959,0,0,0,0,0,0.056,0,0,0,0,0,0
"cl1007_i56_NA_Pvalb",0.0017825311942959,0,0.0028735632183908,0,0,0,0.04,0,0.0533333333333333,0.0147058823529412,0,0,0
"cl1008_e40_NA_L5_IT",0.0053475935828877,0,0,0,0.00448430493273543,0,0,0,0,0,0,0,0
"cl1009_e15_Hsd17b2_L6b",0,0,0,0,0,0,0,0,0,0,0,0,0
"cl101_e53_Zmiz1os1_L6_IT",0.0035650623885918,0,0,0,0.0179372197309417,0,0,0,0,0,0,0,0
"cl1010_n5_Fgfbp1_VLMC",0,0,0,0,0,0,0,0,0,0,0,0,0
"cl1011_n13_Enpp6_Oligo",0,0,0,0,0,0,0,0,0,0,0,0,0
"cl1012_n5_Gkn3_Endo",0,0,0,0,0,0,0,0,0,0,0,0,0
"cl1013_n4_Slc26a2_VLMC",0,0,0,0,0,0,0,0,0,0,0,0,0
"cl1014_n8_Atp13a5_Peri",0,0,0,0,0,0,0,0,0,0,0,0,0
"cl1015_e8_Lhx1os_CR",0,0,0,0,0.00448430493273543,0,0,0,0,0,0,0,0
"cl102_e53_Tmem74b_L23_IT",0,0.0620689655172414,0.0028735632183908,0.012396694214876,0,0,0,0,0,0,0,0,0
"cl103_e53_NA_L23_IT",0,0.032183908045977,0.0028735632183908,0,0,0,0,0,0,0,0,0,0
"cl106_e50_Dlc1_L6_CT",0.0053475935828877,0,0.014367816091954,0.00413223140495868,0,0,0,0,0,0,0,0,0
