clusterName,f-measure,True Negative ,False Positive,False Negative,True Positive,markerCount,,1,2,3,4,5,6,index
Astro Aqp4,0.906626506,13846,22,67,301,1,,Aqp4,nan,nan,nan,nan,nan,Astro Aqp4&Aqp4>=8.988424301147461
CR Lhx5,0.666666667,14229,0,5,2,1,,Ramp1,nan,nan,nan,nan,nan,CR Lhx5&Ramp1>=3596.90087890625
Endo Ctla2a,0.965665236,14142,4,0,90,1,,Cldn5,nan,nan,nan,nan,nan,Endo Ctla2a&Cldn5>=953.7573852539062
Endo Cytl1,0.833333333,14232,0,2,2,2,,Cd24a,Cldn5,nan,nan,nan,nan,Endo Cytl1&Cd24a>=573.390625&Cldn5>=8266.1904296875
L2/3 IT ALM Macc1 Lrg1,0.714285714,14233,0,2,1,3,,Ccdc80,Cux2,Gpc6,nan,nan,nan,L2/3 IT ALM Macc1 Lrg1&Ccdc80>=203.27259826660156&Cux2>=51.499420166015625&Gpc6>=8.08224105834961
L2/3 IT ALM Ptrf,0.769230769,14231,0,3,2,4,,Blnk,Ccbe1,Ccdc80,Glra1,nan,nan,L2/3 IT ALM Ptrf&Blnk>=52.58714294433594&Ccbe1>=28.087800979614258&Ccdc80>=37.478797912597656&Glra1>=0.4107920527458191
L2/3 IT ALM Sla,1,14235,0,0,1,2,,Gene_15730522E02Rik,Kcng1,nan,nan,nan,nan,L2/3 IT ALM Sla&Gene_15730522E02Rik>=88.40644836425781&Kcng1>=137.96432495117188
L2/3 IT VISp Adamts2,0.608628659,13996,31,130,79,2,,Otof,Rfx3,nan,nan,nan,nan,L2/3 IT VISp Adamts2&Otof>=5.969911575317383&Rfx3>=185.17800903320312
L2/3 IT VISp Agmat,0.650387951,13482,99,370,285,3,,Bdnf,Npnt,Slc17a6,nan,nan,nan,L2/3 IT VISp Agmat&Bdnf>=144.56761169433594&Npnt>=0.5383457541465759&Slc17a6>=1.485764503479004
L2/3 IT VISp Rrad,0.641447368,14118,10,69,39,2,,Bdnf,Otof,nan,nan,nan,nan,L2/3 IT VISp Rrad&Bdnf>=1294.414794921875&Otof>=19.533496856689453
L4 IT VISp Rspo1,0.931502316,12804,36,270,1126,2,,Rorb,Rspo1,nan,nan,nan,nan,L4 IT VISp Rspo1&Rorb>=106.03623962402344&Rspo1>=10.83245849609375
L5 IT ALM Cbln4 Fezf2,1,14235,0,0,1,3,,Blnk,Chrm2,Cux2,nan,nan,nan,L5 IT ALM Cbln4 Fezf2&Blnk>=127.3095474243164&Chrm2>=116.01970672607422&Cux2>=106.98477935791016
L5 IT ALM Tmem163 Arhgap25,1,14235,0,0,1,2,,Chodl,Wnt7b,nan,nan,nan,nan,L5 IT ALM Tmem163 Arhgap25&Chodl>=0.5305290222167969&Wnt7b>=102.3408203125
L5 IT VISp Batf3,0.759162304,13768,44,192,232,3,,Iqgap2,Rorb,Slc17a6,nan,nan,nan,L5 IT VISp Batf3&Iqgap2>=51.93925476074219&Rorb>=10.416402816772461&Slc17a6>=1.9880105257034302
L5 IT VISp Col27a1,0.652866242,14110,8,77,41,5,,Cbln2,Cbln4,Pld5,Ptprk,Ptprt,nan,L5 IT VISp Col27a1&Cbln2>=86.46360778808594&Cbln4>=119.42317199707031&Pld5>=0.574413537979126&Ptprk>=63.96291732788086&Ptprt>=127.35062408447266
L5 IT VISp Col6a1 Fezf2,0.689655172,14179,7,26,24,4,,Blnk,Ccdc80,Cdh20,Il1rapl2,nan,nan,L5 IT VISp Col6a1 Fezf2&Blnk>=79.81453704833984&Ccdc80>=44.85330581665039&Cdh20>=0.6079788208007812&Il1rapl2>=2.7433290481567383
L5 IT VISp Hsd11b1 Endou,0.420689655,13956,67,152,61,4,,Barx2,Ccdc3,Ccdc80,Fam19a2,nan,nan,L5 IT VISp Hsd11b1 Endou&Barx2>=0.5796866416931152&Ccdc3>=1.835530400276184&Ccdc80>=0.48251405358314514&Fam19a2>=143.40904235839844
L5 IT VISp Whrn Tox2,0.595930233,14134,26,35,41,3,,Ccdc3,Il1rapl2,Tmem163,nan,nan,nan,L5 IT VISp Whrn Tox2&Ccdc3>=3.0660457611083984&Il1rapl2>=50.96802520751953&Tmem163>=12.169027328491211
L5 NP ALM Trhr Nefl,0.833333333,14232,0,2,2,3,,Rnf152,Slc17a8,Tshz2,nan,nan,nan,L5 NP ALM Trhr Nefl&Rnf152>=171.11233520507812&Slc17a8>=143.8355712890625&Tshz2>=1029.1624755859375
L5 NP VISp Trhr Cpne7,0.876494024,14053,14,37,132,2,,Lypd1,Tshz2,nan,nan,nan,nan,L5 NP VISp Trhr Cpne7&Lypd1>=572.1683349609375&Tshz2>=492.6436767578125
L5 NP VISp Trhr Met,0.88590604,14046,9,49,132,3,,Cd24a,Slc17a8,Tshz2,nan,nan,nan,L5 NP VISp Trhr Met&Cd24a>=323.11822509765625&Slc17a8>=39.48285675048828&Tshz2>=240.6722412109375
L5 PT VISp C1ql2 Cdh13,0.39083558,14026,100,52,58,5,,Bdnf,Fam84b,Fezf2,Lamp5,Pou3f1,nan,L5 PT VISp C1ql2 Cdh13&Bdnf>=54.25210189819336&Fam84b>=3.6068334579467773&Fezf2>=275.1920471191406&Lamp5>=833.2351684570312&Pou3f1>=44.518428802490234
L5 PT VISp C1ql2 Ptgfr,0.720720721,14125,10,53,48,5,,Fam84b,Fezf2,Kcng1,Npnt,Pou3f1,nan,L5 PT VISp C1ql2 Ptgfr&Fam84b>=22.439510345458984&Fezf2>=212.51405334472656&Kcng1>=18.071535110473633&Npnt>=24.562664031982422&Pou3f1>=104.14443969726562
L5 PT VISp Chrna6,0.87020649,14142,3,32,59,2,,Lypd1,Pou3f1,nan,nan,nan,nan,L5 PT VISp Chrna6&Lypd1>=164.24305725097656&Pou3f1>=54.13430404663086
L5 PT VISp Krt80,0.743243243,14005,13,119,99,3,,Blnk,Fezf2,Zfp804b,nan,nan,nan,L5 PT VISp Krt80&Blnk>=2.0894875526428223&Fezf2>=198.07044982910156&Zfp804b>=1.0332759618759155
L5 PT VISp Lgr5,0.476190476,14205,7,16,8,4,,Cdh20,Fam84b,Npnt,Tshz2,nan,nan,L5 PT VISp Lgr5&Cdh20>=1.176086664199829&Fam84b>=5.548752784729004&Npnt>=86.91560363769531&Tshz2>=23.538787841796875
L6 CT ALM Cpa6,0.833333333,14234,0,1,1,2,,Ccdc3,Tbc1d4,nan,nan,nan,nan,L6 CT ALM Cpa6&Ccdc3>=347.03558349609375&Tbc1d4>=0.5497705936431885
L6 CT Nxph2 Sla,0.606060606,14222,1,9,4,2,,Ceacam9,Sema5a,nan,nan,nan,nan,L6 CT Nxph2 Sla&Ceacam9>=108.95415496826172&Sema5a>=102.89021301269531
L6 CT VISp Ctxn3 Brinp3,0.595134666,13876,81,142,137,5,,Foxp2,Igfbp4,Lamp5,Meis2,Syt6,nan,L6 CT VISp Ctxn3 Brinp3&Foxp2>=63.917747497558594&Igfbp4>=489.4775390625&Lamp5>=141.3779296875&Meis2>=60.12961196899414&Syt6>=2.442629814147949
